time,total_pkt,avg_pkt_size,avg_size_ip,total_src_ip,entropy_src_ip,total_dst_ip,entropy_dst_ip,total_src_prt,entropy_src_prt,total_dst_prt,entropy_dst_prt,entropy_tcp_flag,avg_window_size
10,8572,237.902330484,4416.19130435,468,0.69181234199,477,0.699581636805,435,0.615014813544,426,0.642023257641,0.492390907915,15475.1607143
20,9115,260.223688552,4939.9039666,487,0.698711132383,487,0.706900829951,469,0.620290732886,448,0.64742215566,0.525076743749,15893.4750819
30,8936,227.231097151,4219.87083333,491,0.674458516115,483,0.68270700231,454,0.610210847237,435,0.630851639174,0.507698185919,15371.2557335
40,10571,246.991328378,4955.8833652,544,0.678916789521,543,0.68884863427,495,0.610685215101,478,0.636206890775,0.544580818376,15374.1632254
50,9024,225.707444444,4474.37665198,462,0.658143734246,460,0.671968585849,438,0.591987387367,416,0.62379751553,0.515079224569,15150.9557563
60,9977,260.762866908,5868.93438914,453,0.687250859771,451,0.698527819519,444,0.611201790896,422,0.646876998325,0.501235069146,16568.0354999
70,11090,313.195048966,7492.22342733,471,0.67224304936,477,0.68561700241,483,0.599339485555,454,0.630708999001,0.512620560908,16825.568277
80,10726,333.318232977,7776.45295405,465,0.68757919916,472,0.706464198787,470,0.611999973099,435,0.641309899685,0.509403421205,17357.4497686
90,9640,294.969346262,6123.48701299,471,0.684640790183,476,0.706007870537,467,0.615605627322,428,0.646785704769,0.50893109757,17807.7342427
100,10878,294.034120251,6301.39525692,517,0.69504778407,516,0.709200754146,537,0.619033498097,518,0.646657483031,0.588617593822,16950.2852791
110,8756,258.054413959,4918.84463895,467,0.698222855811,467,0.7093318311,436,0.619792406098,410,0.64359550685,0.525351844021,16386.0564039
120,8587,219.651488616,3433.05656934,556,0.696646418013,556,0.700834835447,473,0.627571977576,451,0.648177435534,0.545185130299,15388.8587667
130,9141,243.8372833,4639.52609603,489,0.702817885496,497,0.705148601705,465,0.632709298396,446,0.640965406589,0.552851101952,15659.5079768
140,9172,226.640652364,4452.87956989,472,0.69819302899,465,0.701837553086,461,0.629405231919,434,0.652282563656,0.48012418896,15668.4393265
150,10072,286.065604778,5701.44642857,514,0.70679533698,516,0.711676603291,490,0.629906559084,483,0.648065706757,0.520813380366,15458.4230224
160,12670,339.429499366,8816.78600823,499,0.651692451952,497,0.661787252512,496,0.57902794586,465,0.612237028374,0.425064792915,14670.0234639
170,21183,379.575439592,16591.5247934,494,0.470791548166,496,0.475097264628,454,0.43846655981,425,0.458030373042,0.411115438272,12845.1637272
180,10870,372.83450314,8041.93625498,512,0.699379308465,508,0.706974702564,506,0.622334728512,481,0.646600451567,0.549808256811,16357.1469913
190,13173,448.745378471,11844.8955823,507,0.637036173447,509,0.648677951506,498,0.566525128575,486,0.608246335567,0.484206311715,17222.2565758
200,12768,460.136331528,12342.3094737,483,0.636359966562,490,0.65184431369,480,0.56299927339,460,0.61065687649,0.48566613584,17376.7554754
210,14366,480.344439788,13404.6998051,521,0.655250484351,514,0.662687974377,468,0.572402908065,451,0.61658589472,0.458702816135,16975.181724
220,11603,389.308432273,9786.99346405,474,0.667737277094,475,0.681129118088,458,0.585995343209,440,0.629260355564,0.538018158655,16190.531464
230,12459,389.458883167,9584.54455446,513,0.67012365562,518,0.682225327346,516,0.603235303252,496,0.639546197293,0.498911762706,16111.6183628
240,11702,362.52966901,8681.35728953,495,0.675532308529,503,0.682185735675,490,0.59919706739,461,0.639217415032,0.54378371066,16017.1646471
250,11059,408.040250204,9679.76774194,475,0.678773281156,477,0.682077452221,467,0.611955003923,449,0.64538035798,0.50656569337,16221.4216458
260,13798,335.748783499,9591.13070539,492,0.611590943898,501,0.617645467824,451,0.560566461724,434,0.585999849943,0.455990497343,15959.7105202
270,18912,318.550701615,12302.3108384,499,0.547471905671,507,0.549223550216,473,0.509823562557,449,0.533296604469,0.356444172673,16059.1153422
280,18162,309.711233784,11109.7405941,518,0.545594618807,518,0.549942820959,483,0.511252354147,477,0.531333237789,0.364987891959,15975.6798588
290,16030,324.032118978,11199.7537797,473,0.527016791802,474,0.530560354688,445,0.489079411106,431,0.509483245627,0.345252128812,16250.7596745
300,16630,304.168996265,10345.4856557,497,0.558135165946,505,0.560859833167,478,0.51091165038,460,0.522853972024,0.353363236063,16316.7973929
310,15594,301.382084565,9853.16806723,484,0.546710990908,494,0.552542991464,486,0.507061287824,462,0.522386348879,0.342062855897,16225.7332411
320,17300,307.708591623,12043.8956916,449,0.524305181086,459,0.525739004867,448,0.48510809031,425,0.502339657018,0.322665281326,16730.741117
330,17494,315.69999427,11131.1353535,504,0.584746033061,596,0.583382330473,581,0.53336759896,477,0.562468549294,0.374684238449,16848.638017
340,17778,325.673055242,12137.4789916,487,0.589340989009,626,0.575958732845,621,0.540234798045,471,0.567954879341,0.400896050353,16668.8923176
350,19179,309.475760109,12164.2402464,497,0.559612266225,601,0.548679429613,606,0.512347834238,486,0.535894235782,0.356584963922,16596.9577981
360,17531,329.286800434,12255.7744681,479,0.567490255724,486,0.565692128304,481,0.524905659547,468,0.543593781002,0.321565772065,16551.9215193
370,19740,268.771883558,11040.925,488,0.550141086067,495,0.554903875153,529,0.510093187024,507,0.523725454626,0.314329141565,16869.9973042
380,15525,280.006778567,9150.43248945,481,0.590245162711,480,0.592351779445,525,0.549222894052,491,0.56144366993,0.364278299014,16993.2704398
390,17515,277.206037046,10472.7602592,470,0.553242847165,480,0.552835711876,460,0.522065989314,451,0.527645507024,0.308878630532,17555.784116
400,15009,262.400707563,8755.06681514,459,0.589896750646,462,0.59132693908,441,0.548352686567,430,0.555542750424,0.321345648871,17640.9345396
410,15521,252.693558797,8312.59872611,481,0.574051710224,480,0.575501637883,465,0.536801334276,442,0.54347103121,0.299867724062,17804.4535501
420,15528,253.107451892,8081.69484536,493,0.579686323151,505,0.581226964121,479,0.543425361377,463,0.549376706539,0.334392028654,17299.068171
430,17527,295.594135802,10729.6991701,495,0.592743304817,501,0.593930209115,511,0.555209752228,494,0.56106283078,0.379180321718,18284.7688246
